earn,height,sex,race,ed,age
79571.29901,73.89,male,white,16,49
96396.98864,66.23,female,white,16,62
48710.66695,63.77,female,white,16,33
80478.09615,63.22,female,other,16,95
82089.3455,63.08,female,white,17,43
15313.3529,64.53,female,white,15,30
47104.17182,61.54,female,white,12,53
50960.05428,73.29,male,white,17,50
3212.649556,72.24,male,hispanic,15,25
42996.63788,72.4,male,white,12,30
10328.61884,70.22,male,white,16,69
1002.307155,63.15,female,white,14,54
47597.81986,68.11,male,white,11,38
19019.5423,68.08,male,white,12,31
20063.99664,64.86,female,white,12,55
992.8323463,60.06,female,white,12,31
35972.17112,66.01,female,white,16,39
26930.54396,68.07,male,white,12,62
64602.06397,68.16,female,white,14,33
69993.69307,70.02,male,white,13,48
1000.218306,67.08,female,white,9,25
12131.82212,64.2,female,black,12,59
84223.39792,72.76,male,black,13,39
8949.474935,62.17,female,white,13,55
